market,symbol,name,ai_state,confidence,evidence_axes,trend_evidence,sustainability_evidence,price_position,risk,evidence_used
US,ANET,Arista Networks,SELECT_NOW,HIGH,Trend;Sustainability;PricePosition;Risk,Sep25 close 206.55; 3M +24.2%; near but below 52w high,"Q2 revenue 3.036B, +37.7% YoY; AI networking demand","Orderly near highs, not a vertical one-day spike",Customer concentration/supply/export risk,Direct price history; earnings; sector leadership; source cross-check
KR,009150,삼성전기,SELECT_NOW,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,"Sep23 close 1,507,000; four-session advance into holiday","Q2 sales +24% YoY, op profit +107%; 1.0722T KRW AI-server MLCC contract",Positive recent sequence but already extended vs 6M base,Rapid appreciation/valuation risk,KR multi-horizon returns; verified close; company results/order disclosure
US,V,Visa,SELECT_NOW,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,Sep25 367.94; 30D -4.21%; only ~4.6% below 52w high,Payments-volume base remains large and growing,Recent pullback then stabilization; lower chase risk than AI leaders,Lower momentum than top AI names; macro/payment sensitivity,Direct price history; payment-volume metrics; pullback depth
KR,000660,SK하이닉스,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,Sep23 +1.20%; 1M +11.43%; 6M +88.84%,Record Q2 driven by AI memory/HBM; HBM4 shipments,"Strong but 3M return negative, indicating prior drawdown",China DRAM competition; high volatility,KR returns; liquidity; Q2 results; competition news
KR,005930,삼성전자,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,"Sep23 close 285,500 +3.25%; 1W +12.62%, 1M +11.09%",AI semiconductor demand/market leadership,Strong close but recent acceleration raises chase risk,3M return remains negative,KR returns; verified close; market leadership
US,GOOGL,Alphabet A,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,Sep25 close 342.70; range 341.15-347.00,Cloud/AI TPU growth and large backlog,Consolidating rather than vertically extended,Institutional distribution signal reported by IBD source; capex intensity,Verified Sep25 close; AI-cloud context; price position
US,CDNS,Cadence Design Systems,STABILIZING,MEDIUM,Trend;Sustainability;PricePosition;Risk,Sep25 close 327.92; +13.82% in 5D but 3M -12.55%,EDA/AI-chip design exposure,Sharp rebound from mid-Sep lows,Recent rebound may be too fast; longer horizon still weak,Sep25 close; 5D/1M/3M performance; latest recovery structure
KR,108490,로보티즈,STABILIZING,MEDIUM,Trend;Sustainability;PricePosition;Risk,"Sep23 close 301,000; 1M +21.62%, 3M +17.81%",Humanoid/physical-AI expansion,Holding near 300k after early-Sep surge,High volatility and valuation/theme risk,KR returns; verified close; sector/theme context
US,AMD,AMD,WAIT_FOR_PULLBACK,HIGH_TREND_LOW_TIMING,Trend;Sustainability;PricePosition;Risk,2026 stock gain ~185%; record-high zone,AI systems expansion supports sustainability,Price position highly extended,Chase/reversal risk after extreme run,Reuters momentum context; price-position risk
US,MU,Micron,WAIT_EVENT,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,Strong AI-memory trend near highs,DRAM/HBM demand and supply tightness remain supportive,Trend strong but near event window,Sep30 earnings is near-term binary event,Micron IR event date; memory-cycle context
US,META,Meta Platforms,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;PricePosition;Risk,Recent AI-led surge,AI monetization/product momentum,Recent run raises chase risk,Post-surge volatility / execution risk,Market/news context
US,INTC,Intel,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;PricePosition;Risk,Very strong recent AI/CPU rally,Server/AI narrative,Extended after rapid move,Reversal risk elevated,Market/news context
KR,222800,심텍,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;PricePosition;Risk,1M +42.11%; 6M +163.20%,Electronics component cycle,Price position extended after recent breakout,Chase risk,KR multi-horizon returns
KR,067310,하나마이크론,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;PricePosition;Risk,1W +32.19%; 1M +33.91%,Semiconductor-cycle exposure,Very fast recent rise,Chase/volatility risk,KR multi-horizon returns
